"USERID","REQUESTEDURL"
2079,"ke_ke_foi,ke_se_foda,foge_runaway_remix,pre_producao_sou_feliz,espa_cie_doente,sexy_katrefa_p_am_lady_1,under_the_sky,afterdeath_world_deformed_by_man,dealing_with_lies,nameless_cerveja_locked"
2080,"creep_1,fields_of_hope,spanish_girl,war_is_mine,00_recluso_feat_sub_g_participaa_a_o_de_kacetado_kalibre19,01_dia_de_sol_no_paraiso,01_djas_di_street_krew_2008_dj_master_g_hino_da_street_bonus_track,01_in_love,01_intro_mixtape_ideias_expressadas,01_meu_lugar"
2082,"fool_for_love,help_me_ao_vivo,iraci_473,start_it_up,thatas_the_way_the_blues_como_out_of_me,pretexto_pra_tocar,baia_o_pra_sa_mone,brock_and_hungry_pra_produa_a_o,dk_choro,horizonte_infinito"
2084,"caminho_extenso,momentos_balada,nothing_else_matters_metallica_cover_na_2_melhor_kualidade,olha_para_o_ca_u_balada,para_a_rapariga_mais_bela_da_costa_da_caparica,significado_da_vida_mensagem_para_o_mundo_1,the_melody_of_nature,b_l_going_down_to_the_floor_motherfucker_original_em_fase_de_testes_para_banda,b_l_smash_it_original_em_fase_de_testes_para_banda,cypher_one_drc_letrista_foste_e_nao_voltaste"
2086,"djjoaosilva_6_am_electro_remix,live_act_2,live_act_4,body_language_dj_bu5a_spastik_edit,esta_curtir_dj_bu5a,let_the_music_dj_bu5a_rmx,sunhump_dj_bu5a_amore_remix,beautiful_girl_remix,e_so_mais_um_dia_na_gueto,tribal_gnuk_dj_bu5a_rmx"
2089,"arte_urbana_ft_anjo_mrk,nem_sempre_a_como_queremos_ft_rjr,foi_como_calhou_ft_spm_mrk,conexao_cp_bpc_ft_puto_da_street,preciso_de_ti_ft_mc_lord_mrk,putas_de_norte_a_sul_a_sa_kengas_e_vakas_ft_spm_sil,sentimento_ft_spm,cenas_da_vida_ft_phpulga,o_nosso_sentimento_pra_as_noxas_damas_ft_putokiler_puto_mc,vida_desgraa_ada_ft_spm"
2091,"ke_ke_foi,ke_se_foda,foge_runaway_remix,pre_producao_sou_feliz,me_leva_amor_1,isso_a_calypso,espa_cie_doente,i_will_survive_1,me_leva_amor,sexy_katrefa_p_am_lady_1"
2093,"dream_at_night,electro_popstar,spicy_winner,this_is_the_remix_voz_do_wyclef_jean,00_recluso_feat_sub_g_participaa_a_o_de_kacetado_kalibre19,01_dia_de_sol_no_paraiso,01_djas_di_street_krew_2008_dj_master_g_hino_da_street_bonus_track,01_in_love,01_intro_mixtape_ideias_expressadas,01_meu_lugar"
2094,"kool_2,dancing_in_the_night_hb_production_vol_2,believe_1,last_control,dj_dom_i_miss_you,batam_com_a_cabea_a_no_cha_o,fall_for_you_by_secondhand_serenade_cover,honey,i_swear,i_wish"
2098,"african_elements_drum_tool,batam_com_a_cabea_a_no_cha_o,fico_a_espera_quer_o_ver_o_fim,kabuki_original_mix,mayan_spirit_original_mix,na_o_quero_vida_de_militar,na_o_sei_se_merea_o,para_que_sonhar,paulo_gama_2,paulo_gama_projectos"
2099,"atlantis,caipora,down_to_whisky,everyday_i_have_the_blues_ao_vivo,fly_america,i_got_my_mojo_working_ao_vivo,paulo_gama_2,paulo_gama_projectos,primavera,se_voce_vai_de_xaxado_eu_vou_de_rock_roll"
2107,"blues_walk,i_got_my_mojo_1,i_was_sailing,saint_thomas,st_james_infermary_1,black_ugly_sax_solo,blues_trouble_sax_solo,empty_bed_blues_sax_solo,four,if_i_were_a_catfish_take_2"
2111,"pianinho,se_a_samba_que_eles_querem,sa_mais_uma_noite,dar_e_vender_lua_s_ferreira,vem_passar_a_noite_comigo_fa_tima_rocha,roa_a_roa_a,your_song,ana_o_sei_na_o,garota_bonita,morena_ai_ai"
2113,"na_o_sei_se_merea_o,art_of_living,fico_a_espera_quer_o_ver_o_fim,dominguiando,gigante,mind_the_thieves,body_language_dj_bu5a_spastik_edit,djjoaosilva_6_am_electro_remix,e_so_mais_um_dia_na_gueto,esta_curtir_dj_bu5a"
2117,"dih_p_unit_ft_azteka_entre_o_bem_e_o_mal,positive_ft_real_mc_mentalizado_azteka_festa_e_nossa,debora_ft_azteka_lucone_no_refra_o_sentimento_amo_r,positive_lucon_e_azteka_maste_r_g_freestyle,azteka_ft_lyrisista_assim_que_fazem_os_puros,blekan_deka_ft_dem_boyz_azteka_thug_live,guerra_fria_parte_2_1,layah_ft_azteka_nigga_respeita,lucone_ft_azteka_south_side_seixal_street_na_night,somos_soldados_unidos"
2118,"bem_comea_a,deus_mandau_di_ceu,gerassons,00_recluso_feat_sub_g_participaa_a_o_de_kacetado_kalibre19,01_dia_de_sol_no_paraiso,01_djas_di_street_krew_2008_dj_master_g_hino_da_street_bonus_track,01_in_love,01_intro_mixtape_ideias_expressadas,01_meu_lugar,01_php_you_are_so_v_2"
2123,"na_o_consegues_ver,azteka_ft_lyrisista_assim_que_fazem_os_puros,danito_jp_ft_rafa_dana_porque,desabafos_mc_fly,difusao_o_meu_diario,dinheiro_pa_surviva_dasulla_ft_pof,l_a_stress_ft_paulo,mema_rias_de_um_amor_proibido,mgc_suicidio,msn_ft_danito"
2126,"asas_brancas,trova_do_vento_que_passa,1a_afinaa_a_o_original,saudades_de_coimbra,traz_outro_amigo_tamba_m_2,cana_a_o_da_infa_ncia,pomba_serena_original,variaa_a_es_em_sol_maior_de_artur_paredes,fado_hila_rio,contos_velhinhos"
2127,"mulheres_nuas,rapsa_dia_faixa_bonus,cool_moment,noite_lareira_e_sofa_vermelho,danito_ft_myth_jp_lagrimas_na_cara,jp_ft_danito_ainda_penso_em_ti,ta_pioneiro_ft_ag_ir_som_tuga_par,mind_my_name,united_lonelly_people,danito_jp_ft_rafa_dana_porque"
2131,"abelha_rainha,agir_girlfriend,agir_sagres_love_is_love,agir_to_pionei_ro_son_tuga_pra_danxar,babila_nia,blue_bossa,bo_ten_qu_luta,come_cover_me_feat_jah_milton,costureira_dos_diabos,dalailight"
2135,"mctropas_o_peso_da_culpa_r_i_p_filha,tropas_ft_thuga_g_partida_injusta_nuqqa_l_4ever,p_unit_ft_tropas_isek_patakeiros_no_movimento,a_o_movimento_mixtape_discurso_directo_tropas_isek_c_heetif,tropas_ft_dany_boy_caminhantes_do_hip_hop,crimson_landscape_1,danito_ft_myth_jp_lagrim_as_na_cara,jp_ft_danito_ainda_penso_em_ti,danito_tarde_demais,ainda_penso_em_ti"
2136,"asas_brancas,trova_do_vento_que_passa,1a_afinaa_a_o_original,saudades_de_coimbra,traz_outro_amigo_tamba_m_2,cana_a_o_da_infa_ncia,pomba_serena_original,variaa_a_es_em_sol_maior_de_artur_paredes,fado_hila_rio,contos_velhinhos"
2137,"1_vive_a_vida_kutegash,dilemas_da_vida_mk,volta_para_mim_ft_sofia_2008,isidora_ft_joh_nny_c_african_vibes_record_because_of_you_2006,ta_pioneiro_ft_ag_ir_som_tuga_par,ntk_e_jessica_da_a_cara_ao_que_sentes_2008,abri_odjo,a_sa_s_com_a_nostalgia,lutar_contra_esta_mara,puta_da_ragga"
2138,"mulheres_nuas,al_reves,vivir_es_llegar,amor_de_ma_e_1,balas,carne_pra_canha_o,estrela_vermelha,evil_whores,outra_vez,purple_birds"
2139,"ta_pioneiro_ft_ag_ir_som_tuga_par,cum_sexy_cum,i_need_a_priest,its_lovely,golden_boys_feat_del_marquis,we_are,moonshadow,1_vive_a_vida_kutegash,dilemas_da_vida_mk,guitarra_1"
2141,"dancing_in_the_night_hb_production_vol_2,dj_dom_i_miss_you,6_da_manha,abre_a_janela,acabou_1,algarve_em_acordea_o,a_linda_portuguesa,amigo_apaixonado_1,amor_sem_juizo,ana_o_sei_na_o"
2144,"fuck_off_katchorras_canuca_ft_isek,resposta_ao_kamel_estiga,desiludido_nu_amor_myslo_ft_canuca,ntk_da_me_a_oportunidade_2007,tamawitah_es_essencial,beleza_artificial_com_ba_nus_sam_the_kid,jp_ft_danito_tu_es_1,n_sei_o_nome_xd,cadeia,dj_pak_new_set_for_october07_for_sound_excluxive_the_fox"
2146,"for_my_lady_2008_dj_drix,da_lhe_sa_mo_alex_2008_dj_silva_dj_drix,kuduro_pa_2008_dj_drix,aquela_unidade_2008_dj_drix_dj_cratera,jogada_de_mestre_2008_dj_cratera_dj_drix,kalemba_feat_pongolove_1_remix_house_dj_drix,kuza_bruto_2008_dj_cratera_dj_drix,stoned_2008_dj_drix,ta_gra_a_ssiv_o_2008_dj_silva_dj_drix,vocee_ta_bravo_2008_dj_drix"
2147,"caminho_extenso,momentos_balada,nothing_else_matters_metallica_cover_na_2_melhor_kualidade,olha_para_o_ca_u_balada,para_a_rapariga_mais_bela_da_costa_da_caparica,significado_da_vida_mensagem_para_o_mundo_1,the_melody_of_nature,b_l_going_down_to_the_floor_motherfucker_original_em_fase_de_testes_para_banda,b_l_smash_it_original_em_fase_de_testes_para_banda,cypher_one_drc_letrista_foste_e_nao_voltaste"
2148,"obrigado_mae,priscila_1,a_sa_s_com_a_nostalgia,buraka_vs_antoine_clamaran_babylon_remix,lovely_babylon_remix,rock_this_party2007_baby_lon_remix,so_sexy_babylon_mix,aguenta_o_meu_peso_prod_xoye,anda_la_mexe,baby_dont_cry"
2149,"desencontros_na_minha_vida,do_alto_da_serra_vejo_o_infinito,garota_bonita_e_bela,instrumental_ava_maria_para_dois,instrumental_quero_sentir_teu_vibrar,loneliness_memories,maravilhosa_linha_de_cascais,o_amor_a_eterno_amor,peace_in_africa,quero_sentir_teu_vibrar"
2152,"dj_pak_rise_up_vocal_yves_larock_tribal_expecial,power_of_trance_2006,dj_pak_by_champions_league,dj_pak_hamses_pakito_remix,at_the_gates_of_the_sky,dealer_of_sound,glad_itas_over_sample,sonar_wales_song,best_of_trance_2008,broken_system_1"
2156,"hm_vsilva_ja_nao_aguento_acabou,hm_vale_a_pena_voltar_atras_ft_kute_gash,6_thefive_kutegash,1_vive_a_vida_kutegash,hm_sente_meu_ataque,hm_sentimento_em_sila_ncio_ft_major,dilemas_da_vida_mk,hm_ft_don_letche_hoje_a_noite_a_nossa,o_teu_olhar,dj_pak_erasmus_remix_2008"
2159,"como_a_noite_a_longa,ha_quanto_tempo,i_m_in_trouble_now,paira_a_tona_de_agua,a_minha_apresentaa_ao,aquele_gajo,ataque,cisco_houseguitarra,come_com_o_meu_irmao,great_lover"
2162,"about_you_1,angels_1,apologize_the_real_booty_babes,are_you_ready_1,art_of_living,a_secret,atb_remix,babila_nia,back_again_mikel_filipe_vs_muratuyar,baila_tribal_remix"
2166,"bate_o_pa,cade_voce,helena,roa_a_roa_a,sola_da_bota,00_recluso_feat_sub_g_participaa_a_o_de_kacetado_kalibre19,01_dia_de_sol_no_paraiso,01_djas_di_street_krew_2008_dj_master_g_hino_da_street_bonus_track,01_in_love,01_intro_mixtape_ideias_expressadas"
2176,"dany_boy_ft_tropas_ft_chalitos_ft_isek,01_in_love,abre_os_olhos_1,destino_traa_ado_canuca,fuck_off_katchorras_canuca_ft_isek,introspectiva_pt1,masturbao_mental,resposta_ao_kamel_estiga,sente_agora,tropas_ft_dany_boy_caminhantes_do_hip_hop"
2177,"esponja,sorte_madrasta,devaneios_de_um_tempo_ausente,encontros,moonshadow,october,planic,sensaa_a_es,dads_guns,13_wrong_choices"
2183,"1a_afinaa_a_o_original,asas_brancas,fado_hila_rio,pomba_serena_original,variaa_a_es_em_la_menor_joa_o_baga_o,trova_do_vento_que_passa,traz_outro_amigo_tamba_m_2,cana_a_o_da_infa_ncia,variaa_a_es_em_si_menor_artur_paredes,coimbra_menina_e_moa_a_ao_vivo_em_portel_28_10"
2184,"about_you_1,angels_1,apologize_the_real_booty_babes,are_you_ready_1,art_of_living,a_secret,atb_remix,babila_nia,back_again_mikel_filipe_vs_muratuyar,baila_tribal_remix"
2185,"mulheres_nuas,dany_boy_ft_tropas_ft_chalitos_ft_isek,01_in_love,abre_os_olhos_1,destino_traa_ado_canuca,fuck_off_katchorras_canuca_ft_isek,introspectiva_pt1,masturbao_mental,resposta_ao_kamel_estiga,sente_agora"
2188,"6_da_manha,abre_a_janela,acabou_1,algarve_em_acordea_o,a_linda_portuguesa,amigo_apaixonado_1,amor_sem_juizo,ana_o_sei_na_o,a_natureza,arrasou"
2191,"mctropas_o_peso_da_culpa_r_i_p_filha,tropas_ft_thuga_g_partida_injusta_nuqqa_l_4ever,p_unit_ft_tropas_isek_patakeiros_no_movimento,tropas_ft_dany_boy_caminhantes_do_hip_hop,a_o_movimento_mixtape_discurso_directo_tropas_isek_c_heetif,danito_ft_myth_jp_lagrim_as_na_cara,jp_ft_danito_ainda_penso_em_ti,ainda_penso_em_ti,puta_da_ragga,danito_tarde_demais"
2192,"piano_rocker_v02,the_better_days_remix,pete_decastro_brainstorm,sax_o_tronic_pete_decastro_original,dj_xunxe_mix_2008_feat_dj_douglas,echo,frankie_and_johnny_new_take_1,mosaicos,movimento_perpa_tuo_associativo,silence_boils_over"
2194,"br_a_carta,br_a_carta_parte_2,hardcore,putos_pausados_ft_br_um_som_pesado,sigo_em_frente_2,abre_os_olhos_1,a_sa_s_com_a_nostalgia,beat_instrumental_2007_dj_moreno_produa_oes,conexa_o_1,danito_ft_myth_jp_lagrimas_na_cara"
2195,"perto_do_mar,criana_a_2,7a_andar,desalinhado,quem_me_dera_1,se_ela_a_bonita,acreditar_ao_vivo,escape_radio_edit,gone,gone_radio_edit"
2200,"a_sa_s_com_a_nostalgia,00_recluso_feat_sub_g_participaa_a_o_de_kacetado_kalibre19,01_dia_de_sol_no_paraiso,01_djas_di_street_krew_2008_dj_master_g_hino_da_street_bonus_track,01_in_love,01_intro_mixtape_ideias_expressadas,01_meu_lugar,01_php_you_are_so_v_2,02_00am,02_bueda_vezes_stone"
2203,"mama_na_o_chora,chalice,for_my_lady_2008_dj_drix,cura_noites_ritual_2006,intro_noites_ritual_2006,live_up_noites_ritual_2006,stoned_2008_dj_drix,kuduro_pa_2008_dj_drix,aquela_unidade_2008_dj_drix_dj_cratera,bombastico_2008_dj_drix_dj_cratera"
2205,"se_amanha,revoltado_eu_faa_o_hiphop_mixtape_poet,ta_pioneiro_ft_ag_ir_som_tuga_par,sa_sucesso_the_summer_arrived_vol_4_2006_cd1_01_batata_mc_ft_deus_verbal_marreco_mc_dama_anda_ca,a_minha_hista_ria_ft_missy_e_gijoe,na_o_posso_ficar_calado,a_minha_apresentaa_ao,aquele_gajo,are_you_ready_1,ataque"
2212,"depois_da_tempestade,evollov3_advantage,evollov3_fully,evollov3_prepare_to_fight,evollov3_springfield,evollov3_street_41,evollov3_versus,evollov3_xxxperience,gigante,nunca_desistir"
2213,"na_o_consegues_ver,sonho_real_r7f_ft_froufe,na_o_entendo_r7f,apenas_tu_rainha_da_natureza_r7f,ta_o_perto_r7f,danito_ft_jp_rafa_preciso_do_teu_amor,danito_ft_myth_jp_lagrimas_na_cara,se_amanha,jp_ft_danito_ainda_penso_em_ti,jp_ft_danito_nada_vai_ser_igual"
2215,"danito_ft_myth_jp_lagrimas_na_cara,ta_pioneiro_ft_ag_ir_som_tuga_par,dj_lil_thug_nha_rainha_remix_love_2008,ntk_da_me_a_oportunidade_2007,sushiraw_presents_elizio_confirmaa_a_o_2008_what_u_gonna_do_ft_kaysha_mp3,fuck_off_katchorras_canuca_ft_isek,asher_ft_ruby_c_bomb_putos_di_ghetto,nao_nao_nao,sem_ti,thug_life_brabo_rm_feat_ajk"
2216,"danito_ft_myth_jp_lagrim_as_na_cara,jp_ft_danito_tu_es_1,o_nosso_amor_acabou,danito_jp_ft_rafa_dana_porque,jp_ft_danito_nada_vai_ser_igual,msn_ft_danito,danito_ft_myth_jp_lagrimas_na_cara,noite_remix,coraa_oes_despedaa_ados_tropas_ft_cheetif_art_de_rue_dedicado_kika_titax_anna_lucia,danito_tarde_demais"
2218,"kool_2,amigo_apaixonado_1,amor_sem_juizo,arrasou,atraso_do_destino,cana_a_o_da_terceira_idade,chamada_a_cobrar,cigana_1,duo_norte_amorperf_eito,eu_quero_e_ele_na_o_quer"
2219,"apresentaa_a_o_formal,bloco111_a_dor_doi,bloco111_bons_momentos_km_pika_dos_rapadura,bloco111_canti_gas_do_monte,bloco111_faz_a_tua_nuvem,bloco111_quase_perfeito,bloco111_thug_b111_levanta_a_cabea_a_thug,coraa_oes_despedaa_ados_tropas_ft_cheetif_art_de_rue_dedicado_kika_titax_anna_lucia,inato_ft_infiltrado_amor_sofrimento,inato_ft_infiltrado_be_be_beef_era_o_que_que_que_queriam_diss_toppo"
2220,"fuck_off_katchorras_canuca_ft_isek,dj_pak_rise_up_vocal_yves_larock_tribal_expecial,ta_pioneiro_ft_ag_ir_som_tuga_par,dj_pak_by_champions_league,eu_apoio_o_bairro_para_o_bairro_me_apoiar,a_minha_luta,rap_nao_vai_parar_remix_monte_kapta_arrentela,acabou_noites_ritual_2006,destino_traa_ado_canuca,revoltado_eu_faa_o_hiphop_mixtape_poet"
2221,"atraso_do_destino,eu_quero_e_ele_na_o_quer,forro_da_malhaa_ao,ana_o_sei_na_o,cigana_linda,da_ca_beijinhos,dana_ando_kizomba,heroi_pequeno,juras_de_amor_remix,la_longe"
2222,"sinto_a_tua_falta_2,daruller_u_s_feat_p_paiva_wacklogia,real_mc_as_vezes,united_soldiers_a_festa_e_nossa,a_homen_valha_te_deus,a_za_tira_a_ma_o_da_gaita,eu_na_o_vendo_o_meu_rap,morena_ai_ai,pete_decastro_u_know_u_mix,na_o_posso_ficar_calado"
2224,"luta_de_raa_z,chalice,intro_noites_ritual_2006,live_up_noites_ritual_2006,o_teu_mia_do,were_playing_around_the_globe,cura_noites_ritual_2006,mama_na_o_chora,i_need_a_priest,my_friendz"
2225,"parazaa_r_music_mix,best_of_trance_2008,ft_dj_epsyn_first_power,warning_power_tecnho,minguit_o_kuduro_mix,fatal_tecnho,summerjam_remix,tunning_its_not_a_crime,zig_zag_remix,uaaah_kuduro_mix"
2227,"danito_ft_myth_jp_lagrim_as_na_cara,jp_ft_danito_tu_es_1,o_nosso_amor_acabou,danito_jp_ft_rafa_dana_porque,jp_ft_danito_nada_vai_ser_igual,msn_ft_danito,danito_ft_myth_jp_lagrimas_na_cara,noite_remix,coraa_oes_despedaa_ados_tropas_ft_cheetif_art_de_rue_dedicado_kika_titax_anna_lucia,danito_tarde_demais"
2229,"louca_demais,me_esquea_a_adson_alana,menina_manhosa,o_que_tiver_que_vir_vira_vol_4_a_a,o_som_ta_no_ar,chega_de_baguna_a,menina_que_requebra,brincadeira,i_know_com_a_sabine,parece_as_vezes_que_desperto"
2232,"chalice,intro_noites_ritual_2006,live_up_noites_ritual_2006,acabou_noites_ritual_2006,mama_na_o_chora,babila_nia,homem_do_sucesso,homem_pola_cia,homem_rabot,luta_de_raa_z"
2236,"bem_comea_a,deus_mandau_di_ceu,gerassons,00_recluso_feat_sub_g_participaa_a_o_de_kacetado_kalibre19,01_dia_de_sol_no_paraiso,01_djas_di_street_krew_2008_dj_master_g_hino_da_street_bonus_track,01_in_love,01_intro_mixtape_ideias_expressadas,01_meu_lugar,01_php_you_are_so_v_2"
2238,"se_amanha,ta_pioneiro_ft_ag_ir_som_tuga_par,quimica,revoltado_eu_faa_o_hiphop_mixtape_poet,a_minha_hista_ria_ft_missy_e_gijoe,a_sa_s_com_a_nostalgia,na_o_posso_ficar_calado,realidade,ca_bo_tchora,digo_adeus"
2239,"cana_a_o_para_zana_voz_bia,ser_profano_ao_vivo,ra_pido,balada_do_tempo,mundo_magico,tu_sabes_3,hm_vsilva_ja_nao_aguento_acabou,hm_sentimento_em_sila_ncio_ft_major,major_ft_distinto_sera_amor,desculpa_eu_ser_assim"
2243,"kontrabando_musical_3k_street_soliders,stealth_mudana_a_beat,porque_o_tempo_passa,prisao_domiciliaria,broken_system_1,01_intro_mixtape_ideias_expressadas,mortex_pensei_nisto_street_mix_tape_antecipaa_a_o,a_a_ltima_mulher,amor_divino,boa_sorte"
2246,"betty_davis_eyes,cairo_versa_o_de_tema_dos_taxi,entertainment_clown,every_breath_you_take_1,long_as_i_can_see_the_light,refuge,slide_with_me,wicked_games,your_guide,de_embraiagem"
2249,"01_in_love,100_anos,10_sem_ti_na_o_da_kutegash_ft_hm,1_dia_one_day_mc_fly_feat_ronald_isley,1_vive_a_vida_kutegash,3_30_am_link,4_ever,4life_jackpot,6_thefive_kutegash,7_para_ti_amigo_kutegash"
2253,"life_1,old_man,moda_das_mamas_grandes,follow_the_line,duelo_de_bandolins,hino_acada_mico,improviso_3,homem_do_sucesso,homem_pola_cia,homem_rabot"
2254,"dj_mvboss_a_pa_bora,dj_mvboss_thats_right,dj_mvboss_some_trance,dj_mvboss_stop_and_go,fds_a_tua_partida,dj_mvboss_techno_5,fds_drc_im_ready_4_love,desiludido_nu_amor_myslo_ft_canuca,destino_traa_ado_canuca,fuck_off_katchorras_canuca_ft_isek"
2256,"strange_things_can_happen,last_control,feitia_o,negras_como_a_noite,wad_sa_ntese_da_ambia_ncia_sonora_do_museu_do_rio_alcoutim,creep_2,minimal_part_ii,mentes_de_coraa_a_o,a_em_espinho,caminhando_pela_rua_com_o_meu_mp3"
2261,"fico_a_espera_quer_o_ver_o_fim,nem_as_paredes_confesso,tenho_medo_diz_uma_criana_a,na_o_sei_se_merea_o,para_que_sonhar,batam_com_a_cabea_a_no_cha_o,ata_onde_posso_ir_aca_stico,na_o_quero_vida_de_militar,quero_te_ver_nua,sa_tu_e_eu_uma_historia_mal_contada"
2262,"louca_demais,me_esquea_a_adson_alana,menina_manhosa,o_que_tiver_que_vir_vira_vol_4_a_a,o_som_ta_no_ar,chega_de_baguna_a,menina_que_requebra,brincadeira,i_know_com_a_sabine,parece_as_vezes_que_desperto"
2263,"brother_manca_te_txara_prod,deep_breath_ft_namec_na_boa,digaz_jo_yo_bela_adormecida_1,mais_um_dia_de_school,mmms,montikapta_ft_p_unit_sejam_benvind0s_ao_n0sso_mundo_mortex_dih_sh_add_put0_ivo,punch_line,punch_lineee_xoye_txara_feat_jo_yo_e_rb,rb_feat_jo_yo_apanha_me_se_puderes,the_g_nitro_e_tiago_pusssys"
2264,"anjo_sonial,dia_perfeito,ja_me_fartei_rita_lopez,movimento,ms_eternamente_avo_teste,o_teu_olhar,quimica,remicks_kid_one_swat_kadil_la_o_que_a_que_sentes,sou_o_que_quiseres_mk,tu_sabes_1"
2269,"are_you_ready_1,como_a_noite_a_longa,ha_quanto_tempo,paira_a_tona_de_agua,a_minha_apresentaa_ao,aquele_gajo,ataque,cisco_houseguitarra,come_com_o_meu_irmao,great_lover"
2273,"amarradinho_em_voca,america,amigo_apaixonado_1,amor_antigo,amor_sem_juizo,a_quarentona,aqui_sa_tem_fila,arrasou,ata_mais_ver_vem_me_namorar,atraso_do_destino"
2275,"aa_ores_marchi_nha,ai_ondas_do_mar_de_vigo,assovio_de_cobra_andra_ciraudo_bruno_py_e_gustavo_melo,astrolabios,a_s_tudo_o_que_preciso,batam_com_a_cabea_a_no_cha_o,bate_o_pa,betterman,cancao_de_isabel,cantar_dana_ar_pular"
2276,"ai_ai_katrefa,hora_da_verdade,madalena,fuck_off_katchorras_canuca_ft_isek,resposta_ao_kamel_estiga,desculpa_2,arrependimento,definia_a_o_de_vida,nao_deixes_q_a_vida_fuja_de_ti,querem_beef"
2278,"skhuba_infa_ncia_triste,halloween_no_love,danito_ft_jp_marrone_o_nosso_amor_acabou_danito_produa_a_o,desculpa_foi_um_erro_2008,jp_ft_danito_tu_es_1,sinto_saudades,desculpa_pelo_que_te_fiz_passar,when_the_night_falls,criana_a_2,deixa_ser_a_flor"
2280,"about_you_1,angels_1,apologize_the_real_booty_babes,are_you_ready_1,art_of_living,a_secret,atb_remix,babila_nia,back_again_mikel_filipe_vs_muratuyar,baila_tribal_remix"
2288,"madalena,ai_ai_katrefa,hora_da_verdade,arrependimento,nao_deixes_q_a_vida_fuja_de_ti,rookie_ft_mrk_da_diva_divina_m2,baby_dont_cry,tavareslm_skhuba_todos_juntos,definia_a_o_de_vida,da_me_a_tua_ma_o"
2289,"sonho_real_r7f_ft_froufe,na_o_entendo_r7f,apenas_tu_rainha_da_natureza_r7f,ta_o_perto_r7f,danito_ft_jp_rafa_preciso_do_teu_amor,danito_ft_myth_jp_lagrimas_na_cara,se_amanha,jp_ft_danito_ainda_penso_em_ti,jp_ft_danito_nada_vai_ser_igual,danito_ft_jp_marrone_o_nosso_amor_acabou_danito_produa_a_o"
2298,"danito_ft_myth_jp_lagrim_as_na_cara,jp_ft_danito_tu_es_1,o_nosso_amor_acabou,jp_ft_danito_nada_vai_ser_igual,danito_jp_ft_rafa_dana_porque,msn_ft_danito,danito_ft_myth_jp_lagrimas_na_cara,noite_remix,danito_tarde_demais,coraa_oes_despedaa_ados_tropas_ft_cheetif_art_de_rue_dedicado_kika_titax_anna_lucia"
2300,"atlantis,caipora,down_to_whisky,everyday_i_have_the_blues_ao_vivo,fly_america,i_got_my_mojo_working_ao_vivo,paulo_gama_2,paulo_gama_projectos,primavera,se_voce_vai_de_xaxado_eu_vou_de_rock_roll"
2303,"a_proibido,eu_estou_aqui_1,aftermath,ambiguous_relation,a_minha_hista_ria_ft_missy_e_gijoe,ao_rubro,a_queda_do_paradoxo,armada,art_di_um_cultura,as_the_water_slowly_fills_our_lungs"
2306,"asas_brancas,coimbra_menina_e_moa_a_ao_vivo_em_portel_28_10,trova_do_vento_que_passa,caminhada_original,saudades_de_coimbra,fado_hila_rio,pomba_serena_original,traz_outro_amigo_tamba_m_2,daruller_u_s_feat_p_paiva_wacklogia,real_mc_as_vezes"
2310,"about_you_1,angels_1,apologize_the_real_booty_babes,are_you_ready_1,art_of_living,a_secret,atb_remix,babila_nia,back_again_mikel_filipe_vs_muratuyar,baila_tribal_remix"
2311,"danito_ft_myth_jp_lagrim_as_na_cara,jp_ft_danito_tu_es_1,o_nosso_amor_acabou,danito_jp_ft_rafa_dana_porque,jp_ft_danito_nada_vai_ser_igual,msn_ft_danito,danito_ft_myth_jp_lagrimas_na_cara,noite_remix,coraa_oes_despedaa_ados_tropas_ft_cheetif_art_de_rue_dedicado_kika_titax_anna_lucia,danito_tarde_demais"
2312,"aqui_ha_truque,guantanamera,porto_covo,traa_adinho_de_coimbra,verdes_anos,meia_noite_ao_luar,perdidamente,a_guas_do_da_o,cana_a_o_do_mar_ao_vivo,cia_ncito_aluno"
2314,"dany_boy_ft_tropas_ft_chalitos_ft_isek,abre_os_olhos_1,introspectiva_pt1,masturbao_mental,resposta_ao_kamel_estiga,sente_agora,a_minha_hista_ria_ft_missy_e_gijoe,se_amanha,danito_ft_myth_jp_lagrimas_na_cara,puta_da_ragga"
2318,"na_o_sei_se_merea_o,ata_onde_posso_ir_aca_stico,when_the_night_falls,para_que_sonhar,sa_tu_e_eu_uma_historia_mal_contada,nem_as_paredes_confesso,cuidado_o_diabinho_anda_a_solta,perceptions_of_the_dying,quero_te_ver_nua,seduzir"
2320,"blue_monk,i_got_my_mojo_1,i_was_sailing,saint_thomas,st_james_infermary_1,mercy_mercy_mercy,black_ugly_sax_solo,empty_bed_blues_sax_solo,four,if_i_were_a_catfish_take_2"
2323,"patuscada,caninha_verde,mulheres,eu_quero_e_ele_na_o_quer,quadradinha,sonhos,o_fadinho,morena_ai_ai,chamarrita,canto_de_andar"
2326,"abri_odjo,a_lei_do_underground,a_s_tudo_pra_mim_isah_passado,bobo_da_corte_feat_phoenix,cena_actual,ha_mulheres_e_bitchies,reality_bites,sam_cook_version,soldados_da_rua,suberanoas"
